113,-37.80626983,144.9580634,Stainless Steel Drinking Fountain,Leaf Type,1
114,-37.82838784,144.9844435,Stainless Steel Drinking Fountain,Leaf Type,234
115,-37.83343391,144.9815152,Treated Timber Drinking Fountain,Kings Domain South,4
116,-37.81812626,144.945843,Stainless Steel Drinking Fountain,Leaf Type,7
117,-37.81243581,144.9736844,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,2
118,-37.81999653,144.9597267,Drinking Fountain,Type 1,1
119,-37.83912302,144.980296,Stainless Steel Drinking Fountain,Leaf Type_Fawkner Park,234
120,-37.80696317,144.9709753,Treated Timber Drinking Fountain,Carlton Gardens South,1
121,-37.8200637,144.9433501,Stainless Steel Drinking Fountain,Leaf Type,7
122,-37.84340547,144.9823703,Dog Bowl_Fawkner Park,Leaf Type,234
123,-37.82416129,144.9438641,Stainless Steel Drinking Fountain,Leaf Type,7
124,-37.81047413,144.9810666,Dog Bowl _Fitzroy Gardens,Leaf Type,2
125,-37.82432252,144.9770545,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,4
126,-37.78020536,144.9529357,Royal Park,Leaf Type,102
127,-37.81692707,144.9837045,Old Style Steel Drinking Fountain,NA,2
128,-37.83352413,144.9834722,Stainless Steel Drinking Fountain,Leaf Type_Kings Domain South,234
129,-37.8111844,144.9751862,Stainless Steel Drinking Fountain,Leaf Type,2
130,-37.79885784,144.9439962,Treated Timber Drinking Fountain,Gardiner Reserve,101
131,-37.81437973,144.9760158,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,2
132,-37.80725892,144.9469642,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,3
133,-37.8194284,144.9457882,Stainless Steel Drinking Fountain,Leaf Type,7
134,-37.81678975,144.969337,Stainless Steel Drinking Fountain,Leaf Type,1
135,-37.79735381,144.9528437,Drinking Fountain,Type 1,102
136,-37.81181692,144.9647358,Stainless Steel Drinking Fountain,Leaf Type_Bottle Refill Tap,1
137,-37.78144167,144.9559547,Treated Timber Drinking Fountain,Royal Park,102
138,-37.82760196,144.981947,Treated Timber Drinking Fountain,Alexandra Park,234
139,-37.83791304,144.981874,Treated Timber Drinking Fountain,Fawkner Park,234
140,-37.78972453,144.9554269,Treated Timber Drinking Fountain,Royal Park,102
141,-37.78942634,144.925216,Drinking Fountain,Type 1,59
