rs_id	rs_stopid	rs_lat	rs_long	rs_desc	sub_id
176	19891	-37.95650457	145.1628259	Mont Albert Railway Station 	283
177	19892	-37.82589419	145.0681902	Laburnum Railway Station 	193
178	19893	-37.82448518	145.0812242	Blackburn Railway Station 	195
179	19894	-37.82429952	145.0886479	Nunawading Railway Station 	197
180	19895	-37.82414805	145.0987747	Mitcham Railway Station 	197
181	19896	-37.81942655	145.1055304	Heatherdale Railway Station 	196
182	19897	-37.82078023	145.1407027	Ringwood Railway Station 	202
183	19898	-37.82007075	145.1500135	Auburn Railway Station 	202
184	19899	-37.82060317	145.1748917	Glenferrie Railway Station 	206
185	19900	-37.81800987	145.1919735	Hawthorn Railway Station 	207
186	19901	-37.81883485	145.2135498	Burnley Railway Station 	210
187	19902	-37.81588648	145.2289685	East Richmond Railway Station 	210
188	19903	-37.82239831	145.0458437	Heyington Railway Station 	192
189	19904	-37.82146682	145.0364388	Kooyong Railway Station 	191
190	19905	-37.82182601	145.0228987	Tooronga Railway Station 	191
191	19906	-37.82756022	145.0075551	Gardiner Railway Station 	188
192	19907	-37.82639995	144.9970657	Springvale Railway Station 	189
193	19908	-37.82407446	144.9901643	Westall Railway Station 	190
194	19909	-37.83467244	145.0226353	Huntingdale Railway Station 	235
195	19910	-37.83992894	145.0335516	Oakleigh Railway Station 	237
196	19911	-37.84936553	145.0417337	Hughesdale Railway Station 	238
197	19912	-37.85327908	145.0516547	Murrumbeena Railway Station 	241
198	19913	-37.94950878	145.1534518	Carnegie Railway Station 	283
199	19914	-37.93849121	145.1388326	Werribee Railway Station 	281
200	19915	-37.92468255	145.1205344	Hoppers Crossing Railway Station 	278
201	19916	-37.91101734	145.1023643	Laverton Railway Station 	275
202	19917	-37.90037214	145.0883079	Aircraft Railway Station 	275
203	19918	-37.89488129	145.0776351	Westona Railway Station 	273
204	19919	-37.89019832	145.0673749	Altona Railway Station 	271
205	19920	-37.88624148	145.0585751	Seaholme Railway Station 	269
206	19921	-37.89937805	144.661118	Westgarth Railway Station 	56
207	19922	-37.88327618	144.7009549	Dennis Railway Station 	51
208	19923	-37.86369404	144.7726167	Fairfield Railway Station 	49
209	19924	-37.86660595	144.7608094	Alphington Railway Station 	49
210	19925	-37.86516348	144.8134936	Darebin Railway Station 	21
211	19926	-37.8671476	144.8296447	Ivanhoe Railway Station 	21
212	19927	-37.86784231	144.8409577	Eaglemont Railway Station 	22
213	19928	-37.7806207	144.9992332	Heidelberg Railway Station 	127
214	19929	-37.77918729	145.0082416	Rosanna Railway Station 	127
215	19930	-37.77917126	145.0169053	Moorabbin Railway Station 	135
216	19931	-37.77839363	145.0312549	Patterson Railway Station 	134
217	19932	-37.77496341	145.038476	Bentleigh Railway Station 	136
218	19933	-37.76889674	145.0454252	McKinnon Railway Station 	136
219	19934	-37.76358553	145.0539427	Ormond Railway Station 	144
220	19935	-37.75707293	145.0606855	Glenhuntly Railway Station 	145
221	19936	-37.7428786	145.0661403	Malvern Railway Station 	146
222	19937	-37.93435329	145.0367383	Armadale Railway Station 	312
223	19938	-37.92514919	145.03547	Toorak Railway Station 	338
224	19939	-37.91742457	145.0369951	Hawksburn Railway Station 	338
225	19940	-37.91030903	145.038299	Sandringham Railway Station 	339
226	19941	-37.90321167	145.0396134	Hampton Railway Station 	340
227	19942	-37.88971946	145.0422229	Brighton Beach Railway Station 	270
228	19943	-37.87745946	145.0425248	Middle Brighton Railway Station 	239
229	19944	-37.8662533	145.0292939	North Brighton Railway Station 	238
230	19945	-37.85645238	145.0193255	Gardenvale Railway Station 	236
231	19946	-37.85077381	145.0139086	Elsternwick Railway Station 	236
232	19947	-37.84459087	145.0021421	Ripponlea Railway Station 	234
233	19948	-37.95033018	145.0045614	Balaclava Railway Station 	314
234	19949	-37.93797681	145.0014706	Windsor Railway Station 	310
235	19950	-37.92648432	144.9891536	Prahran Railway Station 	308
236	19951	-37.91513441	144.9962991	South Yarra Railway Station 	308
237	19952	-37.90488721	145.002605	Upfield Railway Station 	308
