102,Place Of Assembly,Theatre Live,MTC Theatre,-37.82426618,144.9681744,6
103,Community Use,Public Buildings,NGV International,-37.8230135,144.9693425,6
104,Place Of Assembly,Theatre Live,Hamer Hall,-37.8199901,144.9679921,6
105,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Birrarung Marr,-37.81806108,144.9731467,4
106,Leisure/Recreation,Indoor Recreation Facility,Artplay,-37.81841988,144.9715426,1
107,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Riverslide Skate Park,-37.82078871,144.9729518,4
108,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Alexandra Gardens,-37.82060514,144.9717961,4
109,Transport,Railway Station,Parliament Railway Station,-37.81160618,144.9730173,2
110,Transport,Railway Station,Richmond Railway Station Richmond - Train stop,-37.82389927,144.9894008,190
111,Transport,Railway Station,Jolimont-MCG Railway Station East Melbourne - Train stop,-37.81656518,144.983641,2
112,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,North Melbourne Recreation Reserve,-37.79883453,144.9414521,101
113,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,J.J Holland Park,-37.79823588,144.9238371,59
114,Transport,Railway Station,Macaulay Railway Station North Melbourne - Train stop,-37.794964,144.9361908,101
115,Transport,Railway Station,Kensington Railway Station,-37.79391401,144.9307102,59
116,Transport,Railway Station,South Kensington Railway Station,-37.79972705,144.9258377,59
117,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Royal Park,-37.79061743,144.9538342,102
118,Transport,Railway Station,Royal Park Railway Station,-37.78126843,144.9516678,102
119,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Princes Park,-37.78701617,144.9611152,104
120,Place Of Assembly,Art Gallery/Museum,National Sports Museum,-37.81895449,144.9846698,2
121,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Shrine of Rembrance Reserve,-37.8320734,144.9736284,4
122,Community Use,Public Buildings,Shrine of Remembrance,-37.830208,144.9734419,4
123,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Royal Botanic Gardens,-37.83066316,144.9808504,234
124,Leisure/Recreation,Informal Outdoor Facility Park/Garden/Reserve,Yarra Park,-37.82046937,144.9866711,2
125,Leisure/Recreation,Indoor Recreation Facility,Icehouse,-37.81218812,144.935684,7
126,Transport,Railway Station,Parliament Railway Station,-37.81215728,144.973742,2
127,Transport,Railway Station,Parliament Railway Station,-37.81276211,144.9734338,1
128,Transport,Railway Station,Parliament Railway Station,-37.80957622,144.9723301,2
